Mot,Type
JarJar,PROPN
Binks,PROPN
:,PUNCT
JarJar,PROPN
Binks,PROPN
",",PUNCT
un,DET
Gungan,NOUN
originaire,ADJ
de,ADP
la,DET
planète,ADJ
Naboo,PROPN
",",PUNCT
est,AUX
un,DET
personnage,NOUN
unique,ADJ
par,ADP
son,DET
excentricité,NOUN
et,CCONJ
son,DET
maladresse,ADJ
.,PUNCT
Doté,PROPN
d'oreilles,ADP
longues,ADJ
et,CCONJ
d'une,ADP
apparence,NOUN
amphibie,NOUN
",",PUNCT
Jar,PROPN
Jar,PROPN
a,AUX
une,DET
démarche,NOUN
maladroite,VERB
qui,PRON
contraste,ADJ
avec,ADP
sa,DET
personnalité,NOUN
joyeuse,ADJ
.,PUNCT
Bien,ADV
qu'il,SCONJ
soit,CCONJ
souvent,ADV
considéré,VERB
comme,ADP
comique,ADJ
",",PUNCT
Jar,PROPN
Jar,PROPN
joue,VERB
un,DET
rôle,NOUN
crucial,NOUN
dans,ADP
la,DET
lutte,VERB
contre,ADP
l'Empire,DET
",",PUNCT
s'associant,PRON
aux,ADP
Jedi,NOUN
et,CCONJ
aux,ADP
Rebelles,PROPN
pour,ADP
combattre,VERB
l'oppression,DET
.,PUNCT
Sa,DET
nature,NOUN
optimiste,ADJ
et,CCONJ
son,DET
innocence,NOUN
cachent,ADV
une,DET
volonté,NOUN
inattendue,ADJ
et,CCONJ
une,DET
loyauté,VERB
indéfectible,ADJ
envers,NOUN
ses,DET
amis,NOUN
.,PUNCT
Yoda,ADV
:,PUNCT
Maître,NOUN
Yoda,ADV
",",PUNCT
le,DET
sage,NOUN
et,CCONJ
puissant,VERB
maître,NOUN
Jedi,NOUN
",",PUNCT
est,AUX
l'une,DET
des,DET
figures,NOUN
les,DET
plus,ADV
emblématiques,ADJ
de,ADP
l'ordre,DET
Jedi,NOUN
.,PUNCT
Malgré,PROPN
sa,DET
petite,ADJ
taille,NOUN
",",PUNCT
Yoda,ADV
possède,VERB
une,DET
sagesse,VERB
profonde,NOUN
et,CCONJ
une,DET
maîtrise,ADJ
exceptionnelle,NOUN
de,ADP
la,DET
Force,NOUN
.,PUNCT
Son,DET
apparence,NOUN
centenaire,ADJ
et,CCONJ
ses,DET
oreilles,NOUN
pointues,ADJ
sont,AUX
caractéristiques,NOUN
de,ADP
sa,DET
race,VERB
mystérieuse,ADJ
.,PUNCT
Yoda,ADV
incarne,NOUN
les,DET
principes,NOUN
de,ADP
l'équilibre,DET
et,CCONJ
de,ADP
la,DET
spiritualité,NOUN
Jedi,NOUN
",",PUNCT
dispensant,ADJ
des,DET
enseignements,NOUN
inestimables,ADJ
à,ADP
plusieurs,DET
générations,NOUN
de,ADP
padawans,ADP
.,PUNCT
Sa,DET
voix,ADJ
unique,ADJ
et,CCONJ
ses,DET
expressions,NOUN
énigmatiques,ADJ
ajoutent,NOUN
à,ADP
son,DET
charme,NOUN
indéniable,ADJ
.,PUNCT
Dark,PROPN
Vador,PROPN
:,PUNCT
Autrefois,PROPN
Anakin,PROPN
Skywalker,PROPN
",",PUNCT
le,DET
héros,NOUN
Jedi,NOUN
prometteur,PROPN
",",PUNCT
Dark,PROPN
Vador,PROPN
est,AUX
devenu,NOUN
l'incarnation,DET
du,ADP
côté,NOUN
obscur,NOUN
de,ADP
la,DET
Force,NOUN
.,PUNCT
Son,DET
imposante,ADJ
armure,NOUN
noire,ADJ
et,CCONJ
sa,DET
respiration,NOUN
mécanique,ADJ
créent,VERB
une,DET
présence,NOUN
intimidante,NOUN
.,PUNCT
La,DET
cape,NOUN
flottante,NOUN
ajoute,NOUN
à,ADP
son,DET
aura,AUX
de,ADP
menace,NOUN
.,PUNCT
La,DET
cicatrice,ADJ
sur,ADP
son,DET
visage,NOUN
rappelle,ADJ
son,DET
passage,NOUN
du,ADP
côté,NOUN
obscur,NOUN
.,PUNCT
Dark,PROPN
Vador,PROPN
est,AUX
à,ADP
la,DET
fois,NOUN
un,DET
guerrier,VERB
redoutable,ADJ
et,CCONJ
un,DET
personnage,NOUN
tragique,ADJ
",",PUNCT
hanté,NOUN
par,ADP
ses,DET
choix,NOUN
passés,VERB
.,PUNCT
Son,DET
rôle,NOUN
en,ADP
tant,ADV
qu'apprenti,SCONJ
de,ADP
l'Empereur,DET
Palpatine,PROPN
le,DET
place,NOUN
au,ADP
cœur,PROPN
du,ADP
conflit,NOUN
galactique,ADJ
.,PUNCT
