Mot,Type
Legolas,X
(,PUNCT
Elfe,PROPN
),PUNCT
:,PUNCT
Legolas,X
",",PUNCT
fils,NOUN
du,ADP
roi,NOUN
Thranduil,PROPN
du,ADP
Royaume,PROPN
des,DET
Bois,PROPN
",",PUNCT
est,AUX
un,DET
elfe,ADJ
du,ADP
peuple,NOUN
des,DET
Sindar,PROPN
.,PUNCT
Ses,DET
yeux,NOUN
perçants,ADJ
témoignent,VERB
de,ADP
la,DET
clarté,ADJ
de,ADP
la,DET
vision,NOUN
elfique,ADJ
",",PUNCT
capable,ADJ
de,ADP
distinguer,VERB
des,DET
mouvements,NOUN
imperceptibles,ADJ
.,PUNCT
Gracieux,PROPN
et,CCONJ
agile,ADJ
",",PUNCT
Legolas,X
excelle,ADJ
dans,ADP
l'art,DET
de,ADP
l'archerie,DET
elfique,ADJ
",",PUNCT
maniant,NOUN
son,DET
arc,PROPN
avec,ADP
une,DET
précision,NOUN
exceptionnelle,NOUN
.,PUNCT
Ses,DET
oreilles,NOUN
pointues,ADJ
reflètent,VERB
son,DET
lien,ADJ
étroit,NOUN
avec,ADP
la,DET
nature,NOUN
",",PUNCT
et,CCONJ
il,PRON
possède,VERB
une,DET
longévité,NOUN
qui,PRON
le,DET
distingue,NOUN
des,DET
mortels,NOUN
.,PUNCT
En,ADP
tant,ADV
que,SCONJ
membre,NOUN
de,ADP
la,DET
Communauté,NOUN
de,ADP
l'Anneau,DET
",",PUNCT
Legolas,X
apporte,NOUN
son,DET
habileté,VERB
au,ADP
combat,NOUN
",",PUNCT
son,DET
calme,PROPN
et,CCONJ
sa,DET
sagesse,VERB
elfique,ADJ
.,PUNCT
Gimli,PROPN
(,PUNCT
Nain,PROPN
),PUNCT
:,PUNCT
Gimli,PROPN
",",PUNCT
fils,NOUN
de,ADP
Glóin,PROPN
",",PUNCT
représente,VERB
la,DET
fierté,VERB
et,CCONJ
la,DET
vaillance,NOUN
des,DET
nains,NOUN
.,PUNCT
De,ADP
petite,ADJ
taille,NOUN
mais,CCONJ
robuste,ADJ
",",PUNCT
Gimli,PROPN
est,AUX
doté,NOUN
d'une,ADP
force,NOUN
impressionnante,ADJ
et,CCONJ
d'une,ADP
résistance,PROPN
exceptionnelle,NOUN
.,PUNCT
Son,DET
épaisse,VERB
barbe,ADJ
et,CCONJ
sa,DET
chevelure,NOUN
ébouriffée,ADJ
sont,AUX
caractéristiques,NOUN
des,DET
nains,NOUN
",",PUNCT
tout,ADV
comme,ADP
son,DET
amour,NOUN
pour,ADP
les,DET
bijoux,PROPN
et,CCONJ
les,DET
trésors,VERB
souterrains,ADJ
.,PUNCT
Armé,PROPN
d'une,ADP
hache,NOUN
à,ADP
double,ADJ
tranchant,VERB
",",PUNCT
Gimli,PROPN
excelle,ADJ
dans,ADP
le,DET
combat,NOUN
rapproché,NOUN
et,CCONJ
ne,ADV
recule,VERB
devant,ADP
aucun,DET
défi,NOUN
.,PUNCT
Son,DET
esprit,ADJ
intrépide,ADJ
et,CCONJ
sa,DET
loyauté,VERB
inébranlable,ADJ
en,ADP
font,VERB
un,DET
compagnon,NOUN
de,ADP
confiance,NOUN
au,ADP
sein,NOUN
de,ADP
la,DET
Communauté,NOUN
.,PUNCT
Azog,ADJ
(,PUNCT
Orc,PROPN
),PUNCT
:,PUNCT
Azog,ADJ
",",PUNCT
le,DET
Roi,NOUN
des,DET
Gobelins,PROPN
de,ADP
la,DET
Moria,NOUN
",",PUNCT
est,AUX
un,DET
redoutable,ADJ
orc,NOUN
qui,PRON
incarne,NOUN
la,DET
cruauté,ADJ
et,CCONJ
la,DET
brutalité,NOUN
de,ADP
sa,DET
race,VERB
.,PUNCT
Sa,DET
peau,NOUN
sombre,NOUN
et,CCONJ
ses,DET
crocs,NOUN
saillants,ADJ
accentuent,ADV
son,DET
apparence,NOUN
terrifiante,NOUN
.,PUNCT
Azog,ADJ
est,AUX
connu,VERB
pour,ADP
sa,DET
force,NOUN
surhumaine,NOUN
et,CCONJ
sa,DET
férocité,NOUN
au,ADP
combat,NOUN
.,PUNCT
Une,DET
cicatrice,ADJ
profonde,NOUN
traverse,VERB
son,DET
visage,NOUN
",",PUNCT
résultat,NOUN
d'un,ADP
affrontement,VERB
passé,VERB
avec,ADP
Thorin,PROPN
Écu-de-Chêne,PROPN
.,PUNCT
En,ADP
tant,ADV
que,SCONJ
leader,VERB
des,DET
Gobelins,PROPN
",",PUNCT
Azog,ADJ
est,AUX
implacable,ADJ
dans,ADP
sa,DET
quête,NOUN
de,ADP
domination,NOUN
et,CCONJ
représente,VERB
la,DET
menace,NOUN
constante,ADJ
des,DET
ténèbres,ADJ
pour,ADP
la,DET
Terre,NOUN
du,ADP
Milieu,PROPN
.,PUNCT
